sp_date,sp_fund,sp_price
17/04/19,APA,0
17/04/19,EMF,0
17/04/19,EUF,0
17/04/19,FNZ,0
17/04/19,OZY,0
17/04/19,TNZ,0
17/04/19,TWF,0
17/04/19,USF,0
17/04/19,USG,0
17/04/19,USV,0
17/04/19,MDZ,0
17/04/19,MZY,0
17/04/19,USM,0
17/04/19,USS,0
17/04/19,NZB,0
17/04/19,NZC,0
17/04/19,GBF,0
17/04/19,ASD,0
17/04/19,DIV,0
17/04/19,ASF,0
17/04/19,ASP,0
17/04/19,ASR,0
17/04/19,NPF,0
17/04/19,AIF_O,0
17/04/19,AIF_G,0
17/04/19,AIF_EM,0
17/04/19,AIF_CI,0
17/04/19,AIF_HI,0
17/04/19,AIF_I,0
17/04/19,AIF_R,0
17/04/19,AIF_E,0
17/04/19,AIF_RE,0
17/04/19,MKC,0
17/04/19,MKB,0
17/04/19,MKA,0
17/04/19,MBT,0
17/04/19,MBG,0
17/04/19,MPC,0
17/04/19,MPD,0
17/04/19,MPB,0
17/04/19,MPA,0
17/04/19,MPU,0
17/04/19,MPG,0
17/04/19,MPT,0
17/04/19,MPY,0
16/04/19,FPI,-1
16/04/19,FPP,-1
17/04/19,FPZ,0
17/04/19,FPA,0
16/04/19,FPG,-1
17/04/19,NPE,0
17/04/19,NPC,0
17/04/19,NPG,0
17/04/19,NPH,0
17/04/19,NPU,0
17/04/19,VHF,0
17/04/19,VIF,0
17/04/19,APZ,0
17/04/19,APE,0
17/04/19,APS,0
17/04/19,APG,0
17/04/19,TRUST,0
17/04/19,JOINT,0
17/04/19,KIWI_SAM,0
17/04/19,KATE,0
17/04/19,SAM,0
17/04/19,TOTAL,0
17/04/19,DPP,0
17/04/19,DPA,0
17/04/19,DPY,0
17/04/19,DPT,0
17/04/19,DPG,0
17/04/19,DPD,0
